seconds_elapsed,x,y,z
0.0,-0.127,1.196,10.003
0.02,-0.284,1.196,10.081
0.04,-0.362,1.117,10.003
0.06,-0.205,1.274,9.924
0.08,-0.284,1.51,9.846
0.1,-0.284,1.745,10.63
0.12,-0.598,1.745,13.298
0.14,-1.618,1.117,17.221
0.16,-2.167,-0.372,19.26
0.18,-4.05,-2.177,20.202
0.2,-4.756,-3.432,23.497
0.22,-3.265,-4.138,24.595
0.24,-2.167,-4.138,21.222
0.26,-1.068,-3.981,17.77
0.28,-1.931,-5.393,18.084
0.3,-2.481,-7.276,17.613
0.32,-0.676,-7.982,15.024
0.34,3.559,-6.806,11.258
0.36,9.051,-3.981,6.943
0.38,11.719,-0.686,2.471
0.4,11.327,1.353,-1.294
0.42,11.64,3.314,-6.08
0.44,12.425,6.374,-12.67
0.46,11.797,8.492,-16.985
0.48,11.013,9.355,-16.436
0.5,11.562,10.218,-12.749
0.52,13.131,10.924,-9.846
0.54,15.014,11.788,-9.218
0.56,15.799,11.866,-8.434
0.58,16.662,11.16,-6.08
0.6,16.819,10.14,-2.863
0.62,17.211,9.434,1.137
0.64,17.995,8.963,5.374
0.66,17.132,7.708,9.532
0.68,15.328,5.197,13.925
0.7000000000000001,12.817,2.608,18.711
0.72,12.66,1.431,24.988
0.74,12.896,-0.137,30.558
0.76,9.051,-3.667,31.735
0.78,2.54,-7.512,30.95
0.8,-3.501,-10.885,30.715
0.8200000000000001,-9.228,-13.474,30.087
0.84,-11.66,-13.945,27.734
0.86,-10.405,-11.984,22.556
0.88,-7.345,-8.767,16.593
0.9,-4.442,-6.021,11.729
0.92,-3.501,-4.53,8.983
0.9400000000000001,-3.736,-4.53,9.14
0.96,-3.814,-4.373,8.826
0.98,-2.951,-3.197,8.041
1.0,0.029,-1.471,8.904
1.02,2.696,0.568,9.767
1.04,3.795,2.765,9.846
1.06,5.285,6.296,10.709
1.08,8.738,11.395,10.395
1.1,12.033,17.279,9.453
1.12,12.19,20.888,9.453
1.1400000000000001,10.071,21.359,10.787
1.16,8.11,19.555,11.65
1.18,6.384,16.887,11.258
1.2,4.579,13.827,10.709
1.22,2.54,10.375,10.395
1.24,0.343,6.609,9.924
1.26,-2.088,3.157,10.081
1.28,-3.971,0.019,9.532
1.3,-5.305,-2.49,8.198
1.32,-6.482,-4.373,6.864
1.34,-7.266,-5.629,5.609
1.36,-8.051,-6.413,3.099
1.3800000000000001,-8.208,-6.335,-0.039
1.4000000000000001,-7.816,-5.943,-2.079
1.42,-7.11,-5.629,-2.785
1.44,-5.933,-5.158,-2.628
1.46,-5.384,-5.158,-2.0
1.48,-3.736,-4.53,-0.745
1.5,-1.853,-3.981,-0.196
1.52,-1.147,-3.667,0.117
1.54,-0.362,-3.432,2.549
1.56,3.01,-1.863,6.08
1.58,6.541,1.117,8.983
1.6,7.325,2.53,13.533
1.62,5.285,3.236,19.574
1.6400000000000001,2.853,3.707,21.222
1.6600000000000001,4.422,5.197,18.633
1.68,6.305,7.002,19.104
1.7,3.716,5.903,22.948
1.72,1.99,5.354,21.379
1.74,2.304,6.688,15.651
1.76,3.795,7.551,13.769
1.78,3.089,6.766,15.181
1.8,2.304,5.825,15.73
1.82,1.755,5.119,13.925
1.84,1.99,4.805,12.121
1.86,1.755,4.099,10.787
1.8800000000000001,0.97,3.236,9.61
1.9000000000000001,0.107,2.294,9.375
1.92,0.029,1.745,9.532
1.94,0.264,1.431,9.14
1.96,0.029,1.353,8.041
1.98,0.343,1.353,7.178
2.0,0.029,1.039,7.649
2.02,-0.755,0.411,8.826
2.04,-1.461,0.098,9.218
2.06,-1.147,0.49,8.041
2.08,-0.205,1.353,6.943
2.1,-0.205,1.431,7.335
2.12,-0.833,0.725,8.59
2.14,-1.618,0.568,9.061
2.16,-1.853,0.725,8.041
2.18,-0.598,1.588,7.335
2.2,-0.205,1.745,8.041
2.22,-1.225,0.882,9.532
2.24,-2.01,0.568,9.453
2.2600000000000002,-1.853,0.882,8.512
2.2800000000000002,-0.912,1.745,7.884
2.3000000000000003,-0.598,1.902,8.904
2.32,-0.99,1.353,10.787
2.34,-1.696,0.882,11.023
2.36,-1.931,0.882,9.767
2.38,-1.775,1.274,8.904
2.4,-0.99,1.667,9.297
2.42,-1.225,1.274,10.238
2.44,-1.539,0.882,10.944
2.46,-1.618,0.804,10.473
2.48,-1.068,1.196,9.61
2.5,-0.755,1.431,9.297
2.52,-1.225,1.196,9.375
2.54,-1.304,1.039,9.61
2.56,-1.068,1.117,10.003
2.58,-1.068,1.196,10.003
2.6,-1.147,1.039,9.924
2.62,-0.99,1.196,9.846
2.64,-1.068,1.196,9.689
2.66,-1.147,0.961,9.846
2.68,-1.068,0.961,9.924
2.7,-1.382,0.882,9.689
2.72,-1.225,0.882,9.453
2.74,-1.147,0.961,9.532
2.7600000000000002,-1.147,0.725,10.003
2.7800000000000002,-1.382,0.647,9.924
2.8000000000000003,-1.147,0.961,9.61
2.82,-0.912,1.353,9.375
2.84,-0.99,1.274,9.453
2.86,-0.99,1.274,9.689
2.88,-1.068,1.196,9.375
2.9,-1.147,1.274,9.218
2.92,-1.147,1.274,9.14
2.94,-0.912,0.882,8.983
