seconds_elapsed,x,y,z
0.0,1.363,1.196,9.297
0.02,0.97,0.961,9.689
0.04,0.657,0.882,10.081
0.06,0.578,0.804,10.003
0.08,0.892,0.882,9.61
0.1,1.127,0.961,9.218
0.12,1.206,1.039,9.375
0.14,1.127,0.882,9.61
0.16,0.892,0.647,9.767
0.18,0.892,0.647,9.846
0.2,1.049,0.725,9.61
0.22,1.363,0.882,9.297
0.24,1.284,0.882,9.532
0.26,0.97,0.647,9.924
0.28,0.813,0.568,10.081
0.3,0.97,0.725,9.689
0.32,1.206,0.882,9.218
0.34,1.206,0.961,9.453
0.36,1.127,0.882,10.081
0.38,0.892,0.804,10.16
0.4,0.813,0.725,10.081
0.42,1.049,0.882,10.081
0.44,1.206,1.039,10.316
0.46,0.97,0.804,10.63
0.48,0.813,0.725,10.552
0.5,0.97,0.961,10.866
0.52,1.363,1.431,12.199
0.54,0.97,1.274,14.396
0.56,-0.049,0.568,17.142
0.58,-0.676,0.49,18.319
0.6,-0.441,0.49,19.182
0.62,-0.205,0.333,20.751
0.64,0.343,0.254,22.869
0.66,0.029,-1.0,25.458
0.68,-0.519,-2.255,25.223
0.7000000000000001,0.264,-2.647,22.634
0.72,1.833,-2.49,18.554
0.74,2.696,-2.49,15.965
0.76,3.559,-2.412,15.73
0.78,4.266,-2.961,14.553
0.8,5.913,-2.49,9.689
0.8200000000000001,6.227,-1.235,4.511
0.84,5.521,-1.078,3.569
0.86,4.501,-1.157,1.294
0.88,4.187,0.019,-1.294
0.9,4.893,0.961,-1.372
0.92,4.422,-1.0,-7.571
0.9400000000000001,3.167,-2.177,-22.085
0.96,3.481,0.019,-30.087
0.98,4.972,2.216,-28.361
1.0,3.873,2.059,-20.28
1.02,0.97,0.725,-10.16
1.04,-1.539,0.49,-3.805
1.06,-3.108,1.51,-4.275
1.08,-3.265,2.294,-5.295
1.1,-2.245,1.981,-4.511
1.12,-2.01,0.725,-1.922
1.1400000000000001,-1.696,-0.294,4.275
1.16,0.186,0.254,7.571
1.18,0.97,1.196,4.746
1.2,1.363,0.882,6.707
1.22,-0.362,-0.451,13.69
1.24,-1.461,-0.686,13.219
1.26,1.049,0.333,8.904
1.28,1.049,0.961,11.964
1.3,-1.225,0.176,14.632
1.32,-1.147,0.411,12.278
1.34,-0.127,-0.294,13.141
1.36,0.5,-0.529,16.201
1.3800000000000001,-0.441,-1.078,17.299
1.4000000000000001,1.127,-0.215,11.964
1.42,0.813,-0.608,12.749
1.44,0.029,-1.392,18.868
1.46,-0.912,-1.863,18.868
1.48,0.578,-0.451,13.219
