time,seconds_elapsed,z,y,x
1776592584780780300,0.3577802734375,0.20715899765491486,0.01644900068640709,0.0871639996767044
1776592584790559200,0.367559326171875,0.18511299788951874,0.06827499717473984,0.08446600288152695
1776592584810112800,0.38711279296875,0.15442399680614471,0.16657200455665588,0.07541599869728088
1776592584829668000,0.406668212890625,0.07261700183153152,0.43167200684547424,0.05364900082349777
1776592584849226500,0.4262265625,0.023617999628186226,0.6538709998130798,0.027338000014424324
1776592584868783400,0.445783447265625,0.02185099944472313,0.8341190218925476,0.004232000093907118
1776592584888344600,0.465344482421875,0.009332000277936459,1.002094030380249,-0.018317999318242073
1776592584907905300,0.4849052734375,0.011618999764323235,1.0743210315704346,-0.03260299935936928
1776592584927461600,0.504461669921875,0.030331000685691833,1.0129400491714478,-0.04457399994134903
1776592584947021600,0.524021484375,0.03311200067400932,0.9922959804534912,-0.05076000094413757
1776592584966582000,0.54358203125,0.02677999995648861,0.9519720077514648,-0.05587799847126007
1776592584986139000,0.563138916015625,0.024656999856233597,0.9398670196533203,-0.051096998155117035
1776592585005699000,0.582698974609375,0.028720000758767128,0.9786890149116516,-0.03511299937963486
1776592585025257700,0.6022578125,0.03602699935436249,0.9691169857978821,-0.03167999908328056
1776592585044814300,0.621814453125,0.03641099855303764,0.9692670106887817,-0.035200998187065125
1776592585064375800,0.641375732421875,0.03310000151395798,0.9850149750709534,-0.03581399843096733
1776592585083936300,0.660936279296875,0.014430000446736813,1.0011570453643799,-0.047022998332977295
1776592585103494700,0.68049462890625,-0.005636000074446201,0.9756829738616943,-0.06578999757766724
1776592585123054800,0.700054931640625,-0.0023169999476522207,0.946943998336792,-0.06792899966239929
1776592585142616000,0.719615966796875,-0.0024560000747442245,1.0095900297164917,-0.05471000075340271
1776592585162172700,0.739172607421875,-0.0008340000058524311,1.095587968826294,-0.038304999470710754
1776592585181728500,0.758728515625,0.015025000087916851,1.1516410112380981,-0.02199600078165531
1776592585201283800,0.778283935546875,0.02665100060403347,1.2012369632720947,-0.008547999896109104
1776592585220841200,0.79784130859375,0.028178000822663307,1.217708945274353,-0.0038429999258369207
1776592585240402400,0.81740234375,0.040286000818014145,1.250870943069458,0.013085000216960907
1776592585259959600,0.83695947265625,0.08850199729204178,1.2085360288619995,0.029019000008702278
1776592585279518500,0.8565185546875,0.12735499441623688,1.1292109489440918,0.038763001561164856
1776592585299080000,0.876079833984375,0.13123400509357452,1.0817409753799438,0.038986001163721085
1776592585318643700,0.895643798828125,0.1419840008020401,1.037106990814209,0.03977400064468384
1776592585338206000,0.9152060546875,0.16173499822616577,0.9901589751243591,0.04048199951648712
1776592585357764900,0.934764892578125,0.1520020067691803,0.8974019885063171,0.026125000789761543
1776592585377327600,0.95432763671875,0.09734400361776352,0.8746020197868347,0.021508000791072845
1776592585396894000,0.97389404296875,0.04655899852514267,0.8381990194320679,0.0340379998087883
