seconds_elapsed,x,y,z
0.0,1.52,0.647,9.846
0.02,1.206,0.647,9.61
0.04,1.127,0.725,8.983
0.06,0.892,0.568,9.689
0.08,0.813,0.411,10.16
0.1,1.127,0.647,9.846
0.12,1.52,0.804,9.375
0.14,1.363,0.647,9.453
0.16,0.97,0.411,10.16
0.18,0.813,0.254,10.552
0.2,1.206,0.568,10.238
0.22,1.833,1.117,9.689
0.24,2.226,1.588,8.826
0.26,2.226,1.902,8.59
0.28,2.147,1.824,9.297
0.3,2.304,1.588,11.65
0.32,2.304,1.117,13.533
0.34,1.99,-0.372,17.613
0.36,0.735,-3.746,27.891
0.38,-1.618,-7.904,34.089
0.4,-3.736,-11.434,36.207
0.42,-2.638,-10.885,27.106
0.44,-0.598,-8.924,17.613
0.46,1.598,-7.276,10.866
0.48,3.716,-6.806,7.178
0.5,6.698,-5.393,2.942
0.52,8.11,-3.824,-3.412
0.54,8.581,-1.392,-11.258
0.56,8.738,1.431,-17.142
0.58,8.188,2.687,-19.26
0.6,7.404,2.451,-18.554
0.62,6.776,2.608,-17.221
0.64,6.855,3.314,-16.279
0.66,7.482,3.236,-15.965
0.68,8.267,1.274,-14.475
0.7000000000000001,7.404,-3.275,-9.61
0.72,5.835,-6.335,-2.628
0.74,5.521,-6.57,0.274
0.76,6.305,-7.825,6.237
0.78,2.932,-11.827,23.183
0.8,1.049,-10.807,30.793
0.8200000000000001,5.207,-6.57,28.204
0.84,6.933,-4.844,30.95
0.86,3.167,-5.707,33.461
0.88,0.421,-5.236,28.518
0.9,0.97,-3.197,20.437
0.92,1.833,-1.549,15.73
0.9400000000000001,1.284,-0.843,14.161
0.96,0.029,-0.843,11.729
0.98,-0.049,-0.451,9.689
1.0,1.206,0.098,7.806
1.02,2.226,0.725,7.178
1.04,2.226,0.961,7.884
1.06,1.284,0.49,9.453
1.08,1.363,0.49,11.415
1.1,2.226,0.725,13.141
1.12,2.775,0.647,15.965
1.1400000000000001,1.363,-0.686,20.202
1.16,-0.205,-2.177,24.282
1.18,-0.205,-2.804,27.42
1.2,-0.598,-3.118,26.635
1.22,-2.559,-4.53,24.909
1.24,-2.716,-5.55,21.3
1.26,0.029,-5.08,17.456
1.28,2.775,-4.373,12.435
1.3,4.579,-3.824,5.217
1.32,5.913,-2.804,-2.157
1.34,5.992,-1.784,-9.14
1.36,4.893,-1.627,-15.024
1.3800000000000001,4.109,-0.843,-20.83
1.4000000000000001,3.167,0.254,-25.145
1.42,3.716,2.137,-23.34
1.44,5.207,2.53,-18.79
1.46,5.129,1.274,-14.161
1.48,4.109,-0.372,-9.924
1.5,3.246,-1.627,-6.943
1.52,4.422,-2.883,-4.354
1.54,3.716,-6.492,3.099
1.56,1.127,-8.532,15.573
1.58,0.735,-7.276,23.732
1.6,4.736,-3.903,26.871
1.62,6.305,-1.314,26.949
1.6400000000000001,2.775,-1.706,27.734
1.6600000000000001,0.578,-1.235,24.909
1.68,0.813,-0.294,20.359
1.7,0.578,-0.137,18.162
1.72,-0.441,-0.372,17.299
1.74,-0.755,-0.137,14.239
1.76,0.657,1.353,10.003
1.78,1.441,1.824,8.59
1.8,1.049,0.961,10.238
1.82,0.186,0.333,10.552
1.84,0.186,0.411,9.689
1.86,1.206,1.274,8.669
1.8800000000000001,1.676,1.588,8.59
1.9000000000000001,1.049,1.274,9.375
1.92,0.735,1.039,10.316
1.94,0.657,1.039,9.924
1.96,0.735,1.039,9.453
1.98,0.578,1.039,9.532
2.0,0.029,0.804,10.081
2.02,0.107,0.725,10.316
2.04,0.578,0.961,9.532
2.06,1.284,1.353,9.14
2.08,0.97,1.274,9.218
2.1,0.264,0.882,10.16
2.12,-0.049,0.568,10.787
2.14,0.107,0.568,10.238
2.16,1.284,1.588,8.826
2.18,1.833,1.981,8.198
2.2,1.363,1.745,8.59
2.22,0.421,0.961,10.709
