seconds_elapsed,x,y,z
0.0,0.264,0.804,9.846
0.02,0.264,0.725,10.081
0.04,0.107,0.647,10.16
0.06,0.107,0.647,9.924
0.08,0.186,0.725,9.689
0.1,0.186,0.804,9.532
0.12,0.029,0.725,9.924
0.14,-0.049,0.725,10.16
0.16,0.029,0.725,9.846
0.18,0.107,0.725,9.297
0.2,0.107,0.725,9.532
0.22,0.107,0.725,9.924
0.24,0.107,0.568,10.238
0.26,0.186,0.568,10.081
0.28,0.107,0.568,9.532
0.3,0.107,0.725,9.297
0.32,0.186,0.725,9.532
0.34,0.264,0.804,9.924
0.36,0.186,0.568,10.081
0.38,0.107,0.49,9.689
0.4,0.029,0.49,9.375
0.42,0.107,0.647,9.532
0.44,0.186,0.725,9.846
0.46,0.107,0.647,10.003
0.48,0.029,0.647,9.767
0.5,0.029,0.647,9.532
0.52,0.107,0.647,9.61
0.54,0.264,0.804,9.846
0.56,0.029,0.725,9.924
0.58,0.029,0.725,9.767
0.6,0.029,0.568,9.453
0.62,0.264,0.568,9.61
0.64,0.107,0.647,9.767
0.66,0.186,0.725,9.924
0.68,-0.049,0.725,9.689
0.7000000000000001,0.029,0.647,9.767
0.72,0.186,0.647,9.846
0.74,0.107,0.647,9.846
0.76,0.029,0.647,9.846
0.78,0.029,0.647,9.767
0.8,0.107,0.647,9.689
0.8200000000000001,0.029,0.568,9.689
0.84,0.186,0.568,9.767
0.86,0.107,0.568,10.003
0.88,0.029,0.568,9.924
0.9,0.029,0.647,9.846
0.92,0.343,0.568,9.297
0.9400000000000001,0.186,0.725,8.983
0.96,0.107,0.568,9.689
0.98,0.107,0.333,10.552
