seconds_elapsed,x,y,z
0.0,-0.205,1.117,9.14
0.02,-0.127,1.274,9.846
0.04,-0.127,1.196,10.63
0.06,-0.362,0.961,10.552
0.08,-0.284,0.961,9.532
0.1,-0.127,1.039,8.747
0.12,-0.127,1.117,8.826
0.14,-0.205,1.117,9.532
0.16,-0.127,0.882,9.846
0.18,-0.205,0.725,9.532
0.2,0.029,0.804,8.983
0.22,0.343,1.117,9.453
0.24,0.343,0.961,10.003
0.26,0.029,0.961,10.003
0.28,0.264,1.039,9.846
0.3,0.343,1.274,9.61
0.32,-0.127,1.274,10.081
0.34,-0.127,1.196,11.258
0.36,0.186,1.039,11.179
0.38,0.343,1.117,10.787
0.4,0.343,0.961,11.179
0.42,0.107,1.196,11.964
0.44,0.421,1.039,13.612
0.46,0.186,0.961,13.376
0.48,0.029,0.961,12.513
0.5,-0.049,1.274,12.827
0.52,-0.284,0.882,15.024
0.54,-1.147,0.176,15.73
0.56,-1.853,-0.058,15.024
0.58,-1.461,0.254,13.533
0.6,-1.304,0.411,11.807
0.62,-1.931,0.49,9.924
0.64,-1.853,0.961,8.826
0.66,-1.461,1.431,9.532
0.68,-1.539,1.431,8.904
0.7000000000000001,-1.775,1.588,6.786
0.72,-2.559,1.274,5.844
0.74,-3.187,1.274,4.275
0.76,-2.951,1.51,2.235
0.78,-2.716,1.745,0.745
0.8,-3.03,1.667,-0.117
0.8200000000000001,-3.658,1.51,-0.039
0.84,-4.128,1.117,0.196
0.86,-3.265,1.51,0.117
0.88,-2.873,1.745,0.509
0.9,-3.108,1.824,3.334
0.92,-3.658,1.431,6.237
0.9400000000000001,-4.285,1.039,6.237
0.96,-3.658,1.117,4.746
0.98,-1.461,1.902,6.237
1.0,-2.559,1.117,11.023
1.02,-3.893,0.176,13.141
1.04,-3.658,0.333,10.16
1.06,-0.99,1.588,7.492
1.08,0.107,2.137,10.787
1.1,-1.775,1.196,15.024
1.12,-2.481,0.725,14.553
1.1400000000000001,-2.716,0.882,10.16
1.16,0.343,2.216,8.277
1.18,-0.912,1.51,10.238
1.2,-1.304,1.117,12.513
1.22,-1.068,0.882,11.65
1.24,-0.441,1.117,10.16
1.26,0.343,1.353,10.395
1.28,0.107,1.274,11.964
1.3,0.107,1.353,12.121
1.32,0.029,1.196,10.787
1.34,0.029,1.117,10.552
1.36,0.657,1.196,11.101
1.3800000000000001,0.421,1.117,11.807
1.4000000000000001,0.421,1.039,11.023
1.42,-0.205,0.882,9.218
1.44,0.107,0.804,9.061
1.46,0.657,1.039,10.395
1.48,0.657,1.039,10.944
1.5,0.421,0.961,10.316
1.52,0.107,0.647,9.453
1.54,0.029,0.411,9.297
1.56,0.5,0.568,9.532
1.58,0.657,0.647,10.003
1.6,0.186,0.49,10.709
1.62,0.107,0.333,10.866
1.6400000000000001,0.186,0.333,9.767
1.6600000000000001,0.657,0.725,9.297
1.68,0.813,0.804,9.924
1.7,0.5,0.647,10.552
1.72,0.343,0.568,10.787
1.74,0.343,0.49,10.16
1.76,0.421,0.49,9.375
1.78,0.343,0.411,9.453
1.8,0.264,0.333,10.081
1.82,0.029,0.254,10.395
1.84,0.264,0.411,9.767
1.86,0.657,0.725,9.061
1.8800000000000001,0.421,0.568,9.375
1.9000000000000001,0.264,0.411,9.924
1.92,0.186,0.333,10.316
1.94,0.186,0.49,9.767
1.96,0.657,0.725,9.375
1.98,0.5,0.725,9.532
2.0,0.264,0.568,10.081
2.02,0.264,0.647,10.395
2.04,0.264,0.725,9.689
2.06,0.5,0.725,9.218
2.08,0.421,0.647,9.453
2.1,0.107,0.411,10.316
2.12,0.186,0.254,10.944
2.14,0.186,0.411,9.689
2.16,0.5,0.804,8.355
2.18,0.421,0.882,8.512
2.2,0.343,0.882,9.689
2.22,0.186,0.568,10.552
2.24,0.264,0.568,10.081
2.2600000000000002,0.421,0.725,9.61
2.2800000000000002,0.421,0.725,9.532
2.3000000000000003,0.186,0.725,10.003
2.32,0.107,0.411,10.473
2.34,0.343,0.49,10.16
2.36,0.578,0.725,9.14
2.38,0.578,0.961,9.218
2.4,0.343,0.647,10.081
2.42,0.264,0.568,10.238
2.44,0.578,1.039,9.453
2.46,0.97,1.274,9.061
2.48,0.657,1.274,9.061
2.5,0.343,0.961,9.846
