seconds_elapsed,x,y,z
0.0,0.343,0.49,9.61
0.02,0.264,0.49,9.532
0.04,0.5,0.568,9.767
0.06,0.421,0.49,9.767
0.08,0.264,0.411,9.689
0.1,0.343,0.49,9.61
0.12,0.421,0.568,9.453
0.14,0.578,0.568,9.532
0.16,0.5,0.568,9.846
0.18,0.421,0.49,9.846
0.2,0.421,0.647,9.689
0.22,0.578,0.725,9.532
0.24,0.5,0.49,9.61
0.26,0.343,0.254,9.767
0.28,0.5,0.333,9.689
0.3,0.657,0.49,9.453
0.32,0.5,0.49,9.218
0.34,0.5,0.411,9.61
0.36,0.5,0.333,10.238
0.38,0.5,0.49,10.238
0.4,0.578,0.647,10.003
0.42,0.578,0.568,9.846
0.44,0.657,0.49,9.846
0.46,0.578,0.49,10.238
0.48,0.5,0.49,10.473
0.5,0.421,0.49,10.238
0.52,0.657,0.647,9.532
0.54,0.892,0.647,9.297
0.56,0.813,0.568,9.924
0.58,0.5,0.411,10.63
0.6,0.421,0.411,10.473
0.62,0.578,0.568,9.61
0.64,0.735,0.725,9.297
0.66,0.578,0.647,9.924
0.68,0.343,0.411,10.63
0.7000000000000001,0.186,0.49,10.63
0.72,0.343,0.568,10.238
0.74,0.5,0.647,9.924
0.76,0.657,0.725,10.081
0.78,0.343,0.647,10.552
0.8,0.186,0.49,11.101
0.8200000000000001,0.107,0.568,11.336
0.84,0.029,0.647,11.179
0.86,0.029,0.804,11.179
0.88,0.029,0.882,11.336
0.9,-0.049,0.882,11.415
0.92,-0.205,0.961,11.729
0.9400000000000001,-0.362,0.961,11.807
0.96,-0.441,0.961,11.572
0.98,-0.519,0.961,11.493
1.0,-0.755,0.961,11.023
1.02,-0.755,0.961,10.944
1.04,-0.676,1.039,11.415
1.06,-0.833,0.882,11.258
1.08,-1.225,0.882,10.63
1.1,-1.304,0.882,10.16
1.12,-1.539,0.961,10.081
1.1400000000000001,-1.853,0.961,10.866
1.16,-2.088,0.804,10.709
1.18,-2.402,0.961,9.767
1.2,-2.716,1.039,9.453
1.22,-2.716,1.274,9.14
1.24,-2.873,1.353,8.904
1.26,-3.187,1.51,9.14
1.28,-3.422,1.51,9.61
1.3,-3.736,1.51,8.983
1.32,-3.971,1.588,7.649
1.34,-3.971,1.902,6.551
1.36,-4.05,1.981,6.629
1.3800000000000001,-4.599,1.824,7.492
1.4000000000000001,-5.148,1.745,7.963
1.42,-5.384,1.981,7.414
1.44,-5.148,2.294,6.158
1.46,-5.227,2.451,5.531
1.48,-5.854,2.294,5.844
1.5,-6.168,2.294,6.707
1.52,-6.325,2.294,6.864
1.54,-6.325,2.608,5.766
1.56,-6.168,2.765,4.903
1.58,-6.482,2.844,4.903
1.6,-7.031,2.765,4.903
1.62,-7.266,2.687,5.688
1.6400000000000001,-7.345,2.608,5.688
1.6600000000000001,-7.345,2.765,4.589
1.68,-7.188,3.079,4.197
1.7,-7.423,3.079,4.746
1.72,-7.737,3.157,4.903
1.74,-7.894,3.236,4.746
1.76,-7.894,3.314,4.354
1.78,-7.816,3.157,3.491
1.8,-7.973,3.314,2.471
1.82,-7.737,3.785,2.0
1.84,-7.345,3.942,1.922
1.86,-7.58,3.628,1.765
1.8800000000000001,-8.208,3.314,1.608
1.9000000000000001,-8.443,3.393,1.137
