time,seconds_elapsed,z,y,x
1776592901464897300,0.431897216796875,9.45300006866455,1.8240000009536743,-0.3619999885559082
1776592901474677000,0.441677001953125,9.531999588012695,1.8240000009536743,-0.3619999885559082
1776592901494237400,0.461237548828125,9.531999588012695,1.9019999504089355,-0.20499999821186066
1776592901513796000,0.480796142578125,9.689000129699707,1.8240000009536743,-0.20499999821186066
1776592901533353000,0.50035302734375,9.689000129699707,1.7450000047683716,-0.3619999885559082
1776592901552909000,0.519908935546875,9.767000198364258,1.7450000047683716,-0.3619999885559082
1776592901572468700,0.53946875,9.29699993133545,1.7450000047683716,-0.3619999885559082
1776592901592030500,0.559030517578125,9.060999870300293,1.8240000009536743,-0.2840000092983246
1776592901611590700,0.578590576171875,9.609999656677246,1.7450000047683716,-0.20499999821186066
1776592901631149000,0.598149169921875,9.923999786376953,1.6670000553131104,-0.2840000092983246
1776592901650706200,0.6177060546875,9.923999786376953,1.5880000591278076,-0.4410000145435333
1776592901670258700,0.6372587890625,9.689000129699707,1.5880000591278076,-0.3619999885559082
1776592901689807000,0.65680712890625,9.45300006866455,1.8240000009536743,-0.20499999821186066
1776592901709353700,0.676353759765625,9.531999588012695,1.8240000009536743,-0.12700000405311584
1776592901728899800,0.69589990234375,9.845999717712402,1.8240000009536743,-0.3619999885559082
1776592901748448800,0.71544873046875,9.845999717712402,1.7450000047683716,-0.5189999938011169
1776592901768000500,0.73500048828125,9.531999588012695,1.8240000009536743,-0.2840000092983246
1776592901787559400,0.754559326171875,9.375,1.8240000009536743,-0.20499999821186066
1776592901807119000,0.774119140625,9.767000198364258,1.8240000009536743,-0.2840000092983246
1776592901826674200,0.793674072265625,9.845999717712402,1.8240000009536743,-0.2840000092983246
1776592901846226400,0.813226318359375,9.531999588012695,1.8240000009536743,-0.3619999885559082
1776592901865777400,0.83277734375,9.29699993133545,1.9019999504089355,-0.2840000092983246
1776592901885330200,0.852330078125,9.531999588012695,1.9019999504089355,-0.2840000092983246
1776592901904885200,0.87188525390625,9.767000198364258,1.8240000009536743,-0.2840000092983246
1776592901924441600,0.891441650390625,9.923999786376953,1.7450000047683716,-0.3619999885559082
1776592901943997400,0.91099755859375,10.081000328063965,1.8240000009536743,-0.2840000092983246
1776592901963551000,0.930551025390625,10.23799991607666,1.8240000009536743,-0.04899999871850014
1776592901983102700,0.950102783203125,10.552000045776367,1.9019999504089355,-0.12700000405311584
1776592902002655000,0.969655029296875,10.944000244140625,2.059000015258789,-0.12700000405311584
1776592902022209000,0.989208984375,13.140999794006348,2.2160000801086426,-0.20499999821186066
1776592902041759700,1.008759765625,15.338000297546387,2.2160000801086426,0.2639999985694885
1776592902061305000,1.02830517578125,17.534000396728516,2.372999906539917,0.9700000286102295
1776592902080855300,1.047855224609375,20.829999923706055,1.8240000009536743,0.8130000233650208
1776592902100412200,1.067412109375,23.183000564575195,1.3530000448226929,-0.6759999990463257
1776592902119968000,1.086968017578125,20.516000747680664,1.2740000486373901,-1.3819999694824219
1776592902139524600,1.106524658203125,17.534000396728516,1.8240000009536743,-0.6759999990463257
1776592902159084300,1.126084228515625,18.319000244140625,1.6670000553131104,-0.2840000092983246
1776592902178643200,1.145643310546875,17.927000045776367,1.1169999837875366,0.578000009059906
1776592902198196200,1.1651962890625,17.06399917602539,0.2540000081062317,1.284000039100647
