seconds_elapsed,x,y,z
0.0,0.264,0.647,10.316
0.02,0.107,0.647,10.316
0.04,0.186,0.568,9.846
0.06,0.186,0.725,9.297
0.08,0.186,0.725,9.532
0.1,0.264,0.804,9.846
0.12,0.5,1.039,10.473
0.14,1.049,1.196,12.042
0.16,1.363,1.353,14.239
0.18,1.284,1.039,17.613
0.2,0.657,0.49,18.868
0.22,0.97,0.254,19.182
0.24,1.363,0.019,22.713
0.26,1.127,-0.921,26.165
0.28,1.206,-1.941,25.537
0.3,1.127,-2.804,22.869
0.32,2.853,-2.412,17.142
0.34,4.266,-1.078,11.886
0.36,4.03,-0.529,10.866
0.38,3.403,-0.921,10.081
0.4,3.559,-0.686,6.001
0.42,3.324,-0.608,2.392
0.44,1.598,-0.294,-2.235
0.46,1.049,-0.294,-7.257
0.48,-0.205,-1.0,-13.298
0.5,-3.03,-1.784,-17.064
0.52,-4.521,-1.863,-17.927
0.54,-4.207,-0.921,-18.319
0.56,-2.951,0.098,-17.613
0.58,-1.775,0.49,-15.338
0.6,-0.99,0.254,-11.65
0.62,0.657,0.019,-7.963
0.64,3.089,0.098,-6.158
0.66,4.501,-0.215,-2.471
0.68,5.599,-0.608,4.197
0.7000000000000001,6.227,-0.372,10.316
0.72,8.188,0.098,17.77
0.74,9.444,1.353,20.516
0.76,6.148,0.804,19.967
0.78,4.03,0.411,23.419
0.8,3.952,0.804,22.791
0.8200000000000001,5.05,1.431,19.417
0.84,5.835,1.431,20.751
0.86,5.207,0.333,29.303
0.88,4.893,-0.215,33.932
0.9,5.05,-0.372,31.343
0.92,3.952,-0.764,27.734
0.9400000000000001,2.304,-1.627,25.772
0.96,1.912,-1.471,24.125
0.98,3.01,-0.686,24.988
1.0,4.893,-0.608,25.772
1.02,6.541,-1.392,21.536
1.04,8.738,-1.549,14.396
1.06,9.365,-1.078,6.237
1.08,8.581,-0.608,0.431
1.1,7.168,-0.215,-3.805
1.12,4.972,-0.058,-7.492
1.1400000000000001,2.775,0.098,-10.16
1.16,0.97,-0.921,-13.062
1.18,-1.618,-2.647,-17.613
1.2,-4.442,-3.51,-23.419
1.22,-3.893,-2.412,-23.654
1.24,-2.01,-1.314,-18.633
1.26,-1.931,-0.921,-12.749
1.28,-2.324,-1.0,-8.355
1.3,-1.539,-1.235,-7.021
1.32,4.344,-0.058,-6.551
1.34,7.482,0.411,-2.314
1.36,6.384,-0.294,6.707
1.3800000000000001,3.403,-1.549,11.572
1.4000000000000001,6.698,-0.764,12.906
1.42,15.799,3.079,22.556
1.44,6.384,-0.058,28.989
1.46,2.461,-0.843,31.186
1.48,4.501,0.568,27.655
1.5,5.992,1.824,33.539
1.52,2.383,-0.215,36.835
1.54,2.853,0.647,33.461
1.56,4.658,2.608,26.165
1.58,4.344,3.079,23.183
1.6,2.853,1.353,25.929
1.62,3.324,0.254,25.38
1.6400000000000001,4.972,0.098,20.437
1.6600000000000001,5.364,-0.843,13.69
1.68,5.835,-0.451,7.257
1.7,6.07,0.49,0.902
1.72,5.05,1.431,-2.079
1.74,3.559,0.804,-0.431
1.76,2.461,-0.058,-3.805
1.78,1.284,-0.921,-9.14
1.8,-0.205,-1.941,-15.181
1.82,-2.01,-2.647,-22.869
1.84,-2.481,-2.334,-26.949
1.86,-1.304,-1.627,-23.262
1.8800000000000001,-1.225,-1.549,-15.416
1.9000000000000001,-0.676,-1.471,-8.826
1.92,0.029,-0.843,-5.609
