time,seconds_elapsed,z,y,x
1776592641517815000,0.36481494140625,-0.31147301197052,-0.22546300292015076,-0.2417300045490265
1776592641527595500,0.374595458984375,0.16423100233078003,0.09988799691200256,0.3030270040035248
1776592641547153400,0.3941533203125,-0.31426000595092773,-0.11071000248193741,0.1530590057373047
1776592641566708000,0.4137080078125,-0.3836379945278168,-0.2582249939441681,0.1497569978237152
1776592641586263000,0.433262939453125,-0.3162589967250824,-0.16586600244045258,0.2248629927635193
1776592641605821400,0.452821533203125,-0.15316100418567657,-0.07657100260257721,0.35078999400138855
1776592641625385000,0.472385009765625,-0.1532920002937317,-0.06819800287485123,0.19422100484371185
1776592641644948700,0.49194873046875,-0.4662199914455414,0.33353298902511597,0.37799200415611267
1776592641664510000,0.511510009765625,-0.6970419883728027,0.48687899112701416,0.5658109784126282
1776592641684063200,0.531063232421875,-0.31434300541877747,0.3325529992580414,0.28659000992774963
1776592641703615700,0.55061572265625,0.08344600349664688,0.06349600106477737,0.16004300117492676
1776592641723173600,0.570173583984375,-0.14482900500297546,-0.03765600174665451,0.05371300131082535
1776592641742732500,0.589732666015625,-0.618694007396698,-0.06901499629020691,0.2517170011997223
1776592641762289400,0.609289306640625,-1.0797510147094727,-0.024771999567747116,0.5309939980506897
1776592641781845800,0.628845703125,-1.0784690380096436,0.040483999997377396,0.4955480098724365
1776592641801406200,0.64840625,-0.6826480031013489,-0.12213300168514252,0.45770901441574097
1776592641820964900,0.66796484375,-0.3694959878921509,-0.2883729934692383,0.253915011882782
1776592641840519400,0.68751953125,-0.370618999004364,-0.2806819975376129,0.21111400425434113
1776592641860074200,0.70707421875,-0.45407000184059143,-0.10538899898529053,0.39531901478767395
1776592641879633700,0.726633544921875,-0.851140022277832,-0.0932689979672432,0.589663028717041
1776592641899196000,0.74619580078125,-1.0034819841384888,-0.08095400035381317,0.7656310200691223
1776592641918757000,0.765757080078125,-0.5434399843215942,-0.23105399310588837,0.5434460043907166
1776592641938315000,0.78531494140625,-0.23377299308776855,-0.1361449956893921,0.5619459748268127
1776592641957874000,0.8048740234375,-0.23582300543785095,0.01935099996626377,0.7583019733428955
1776592641977430800,0.8244306640625,-0.47218701243400574,0.19125500321388245,0.8407920002937317
1776592641996985900,0.84398583984375,-0.1648000031709671,0.11543499678373337,0.8321080207824707
1776592642016545000,0.863544921875,0.29184699058532715,-0.11352899670600891,0.5782139897346497
1776592642036105700,0.883105712890625,0.4484350085258484,-0.11105500161647797,0.49290499091148376
1776592642055667200,0.902667236328125,0.20929400622844696,-0.02699900045990944,0.7208719849586487
1776592642075227600,0.9222275390625,-0.507535994052887,0.041179999709129333,0.9446589946746826
1776592642094785300,0.941785400390625,-0.9127479791641235,0.039650000631809235,1.0916630029678345
1776592642114342100,0.961342041015625,-0.8434630036354065,-0.11170600354671478,1.0516220331192017
1776592642133891600,0.9808916015625,-0.6261870265007019,-0.27742999792099,0.9384199976921082
