seconds_elapsed,x,y,z
0.0,0.107,0.804,9.61
0.02,-0.284,0.804,9.846
0.04,-0.284,0.568,10.003
0.06,-0.362,0.568,9.689
0.08,-0.205,0.725,9.297
0.1,-0.284,0.647,9.375
0.12,-0.362,0.568,9.924
0.14,-0.284,0.647,10.081
0.16,-0.049,0.647,10.003
0.18,-0.127,0.725,9.767
0.2,-0.284,0.725,9.689
0.22,-0.284,0.647,9.767
0.24,-0.362,0.49,10.081
0.26,-0.284,0.49,10.003
0.28,-0.205,0.49,9.767
0.3,-0.284,0.568,9.689
0.32,-0.284,0.568,9.767
0.34,-0.205,0.647,9.689
0.36,-0.127,0.725,9.61
0.38,-0.205,0.647,9.767
0.4,-0.362,0.568,10.081
0.42,-0.441,0.568,10.003
0.44,-0.284,0.568,9.846
0.46,-0.205,0.647,9.689
0.48,-0.362,0.568,9.61
0.5,-0.284,0.647,9.846
0.52,-0.284,0.647,10.003
0.54,-0.284,0.568,9.924
0.56,-0.362,0.49,9.61
0.58,-0.519,0.49,9.453
0.6,-0.362,0.647,9.453
0.62,-0.441,0.49,9.689
0.64,-0.598,0.333,10.16
0.66,-0.519,0.411,10.081
0.68,-0.362,0.49,10.395
0.7000000000000001,-0.049,0.568,11.023
0.72,0.107,0.49,12.592
0.74,0.029,0.49,13.376
0.76,-0.049,0.49,13.455
0.78,-0.049,0.647,13.376
0.8,-0.049,0.882,13.141
0.8200000000000001,-0.049,1.039,12.121
0.84,-0.284,0.882,11.964
0.86,-0.519,0.804,11.258
0.88,-0.598,0.882,9.767
0.9,-0.362,1.353,7.884
0.92,0.578,2.137,5.844
0.9400000000000001,0.657,2.53,3.962
0.96,0.186,2.373,1.922
0.98,-0.127,2.294,0.588
1.0,-0.441,2.137,-1.216
1.02,-0.598,1.824,-3.569
1.04,-0.912,1.039,-4.668
1.06,-0.362,-0.451,0.431
1.08,-0.127,-1.941,12.984
1.1,0.578,-2.098,23.262
1.12,1.363,-1.392,27.263
1.1400000000000001,0.813,-1.235,29.303
1.16,0.421,-1.157,28.126
1.18,0.657,-0.529,22.556
1.2,0.735,0.333,15.965
1.22,-0.127,0.647,10.473
1.24,-0.912,0.333,5.06
1.26,-0.205,0.882,-2.235
1.28,0.578,1.667,-7.884
1.3,1.127,2.451,-10.395
1.32,0.813,2.294,-11.493
1.34,0.578,1.667,-7.257
1.36,-0.127,0.333,2.314
1.3800000000000001,0.343,-1.784,17.691
1.4000000000000001,2.147,-2.883,28.911
1.42,1.598,-3.04,34.324
1.44,0.264,-2.726,31.107
1.46,0.186,-1.314,22.869
1.48,-0.049,-0.215,14.318
1.5,-0.284,0.254,8.041
1.52,0.107,0.647,2.314
1.54,0.657,1.431,-4.668
1.56,1.206,2.451,-8.983
1.58,1.441,3.314,-11.258
1.6,1.049,2.687,-8.983
1.62,-0.598,0.882,-1.372
1.6400000000000001,-1.775,-1.157,8.983
1.6600000000000001,1.284,-1.078,20.83
1.68,1.912,-1.314,29.617
1.7,0.029,-2.334,33.853
1.72,-0.205,-1.706,29.93
1.74,0.264,-0.451,21.379
1.76,0.029,0.019,13.455
1.78,-0.205,0.176,7.1
1.8,0.186,0.804,1.294
1.82,1.206,2.059,-4.118
1.84,1.912,2.922,-7.492
1.86,1.99,2.922,-8.904
1.8800000000000001,1.127,1.981,-6.943
1.9000000000000001,-0.127,0.961,-1.529
1.92,-1.775,-0.294,5.531
1.94,-1.382,-1.314,15.259
1.96,0.343,-1.157,25.145
1.98,0.029,-1.471,31.578
2.0,-0.362,-1.392,30.95
2.02,0.5,-0.372,24.831
2.04,0.892,0.725,18.005
2.06,0.657,0.882,11.336
2.08,0.264,1.039,4.589
2.1,0.578,1.353,-1.059
2.12,0.892,1.745,-5.138
2.14,1.049,2.451,-7.963
2.16,1.363,2.53,-9.218
2.18,0.97,1.667,-6.001
2.2,-0.99,-0.294,1.608
2.22,-2.01,-1.706,11.101
2.24,-0.127,-1.392,19.731
2.2600000000000002,0.657,-1.235,26.321
2.2800000000000002,-0.833,-2.177,31.5
2.3000000000000003,-0.598,-1.627,30.087
2.32,-0.049,-0.686,23.105
2.34,0.264,0.176,15.416
2.36,0.186,1.039,9.061
2.38,0.421,1.117,3.648
2.4,0.735,1.51,-1.686
2.42,0.813,1.902,-5.766
2.44,0.892,2.137,-7.963
2.46,1.206,1.981,-8.512
2.48,0.892,1.51,-5.452
2.5,-0.284,0.254,1.451
2.52,-0.833,-1.627,12.513
2.54,1.284,-1.078,22.791
2.56,1.441,-0.451,27.498
2.58,0.97,-0.215,29.303
2.6,0.264,-0.058,25.38
2.62,0.029,0.411,18.476
2.64,-0.205,0.647,12.827
2.66,-0.441,0.804,8.826
2.68,-0.519,0.804,5.295
2.7,-0.362,1.039,1.686
2.72,-0.519,1.431,-1.529
2.74,-0.284,2.137,-3.569
2.7600000000000002,0.5,2.373,-2.942
2.7800000000000002,0.657,1.981,0.431
2.8000000000000003,0.029,0.961,5.688
2.82,0.813,0.333,14.945
2.84,0.97,0.254,17.456
2.86,0.578,0.568,16.436
2.88,-0.127,0.647,14.475
2.9,-0.519,0.725,13.219
2.92,-0.519,0.568,11.886
2.94,0.029,0.804,10.395
2.96,0.343,1.039,9.689
2.98,0.343,1.274,9.689
3.0,0.264,1.274,10.238
3.02,-0.049,1.039,10.473
3.04,0.029,0.961,9.767
3.06,0.107,1.196,8.669
3.08,0.029,1.353,8.747
3.1,0.029,1.353,10.081
3.12,0.107,1.196,11.179
3.14,0.5,1.117,10.395
3.16,0.657,1.353,8.983
3.18,0.735,1.431,8.747
3.2,0.5,1.274,9.61
3.22,0.578,1.117,10.709
3.24,0.813,1.196,10.16
3.2600000000000002,0.813,1.431,9.218
3.2800000000000002,0.813,1.51,8.904
3.3000000000000003,0.735,1.51,9.375
3.3200000000000003,0.657,1.353,10.16
3.34,0.657,1.353,9.924
3.36,0.657,1.431,9.218
3.38,0.735,1.51,9.218
3.4,0.421,1.196,10.003
3.42,0.186,0.961,10.473
3.44,0.578,1.274,9.689
3.46,1.52,1.824,8.904
3.48,1.598,1.902,9.061
3.5,1.441,1.745,9.297
3.52,0.735,1.431,9.767
3.54,0.186,1.039,9.767
3.56,0.343,0.961,9.61
3.58,0.813,1.196,9.297
3.6,0.97,1.667,9.375
3.62,0.813,1.745,9.924
3.64,0.657,1.667,10.473
3.66,0.5,1.353,10.552
3.68,0.5,1.274,10.003
3.7,0.892,1.431,9.218
3.72,1.284,1.745,9.14
3.74,1.127,1.745,9.218
3.7600000000000002,0.97,1.667,9.846
3.7800000000000002,0.813,1.51,10.238
3.8000000000000003,0.578,1.431,9.767
3.8200000000000003,0.735,1.51,9.453
3.84,0.578,1.353,9.297
3.86,0.343,1.274,9.61
3.88,0.578,1.274,9.846
3.9,0.578,1.431,9.61
